id,Delta,I_mult,R0,R_mult,delta_days_intro_VOC,delta_scaler2,ifr_mult,psi,scaler1,seasonality_min
7020,26.0,89.35596640595398,1.276334278990371,54.810234948985865,-17.0,2.9607001563855135,0.86515678941324,1.4826398907957417,20.30314222969993,0.881684378942436
7021,24.0,52.75014004786769,1.3221317823059013,88.60872347014728,-6.0,-7.193247721747785,1.584709901484879,1.4390346935553933,18.79929384691025,0.6050097945614658
7022,17.0,77.6874055128473,1.2583762851552416,61.565214231626456,18.0,5.022178664255618,0.7434088197929833,1.46363486241817,28.886082925489326,0.5756538617122968
7023,26.0,39.255293315914,1.2766049673557853,52.922824003468364,8.0,1.0435950808679073,0.8984184538225711,1.3201725324618638,25.239028764389296,0.7894779055899959
7024,26.0,39.35565502833661,1.304226825015871,74.43415722208731,-4.0,-6.600494778151482,1.7032204496785428,1.5184128872980631,15.916975846534985,0.706223380753183
7025,17.0,86.87309613756402,1.274466370045675,46.548412807432484,-36.0,6.540013560427542,1.2922728184287784,1.2965569173415195,13.46793093694936,0.6617349287936736
7026,32.0,89.27808024522376,1.2806297669820643,17.827538067468527,-43.0,2.1259326415141615,0.8478782382416753,1.5652697958477941,21.874942370791796,0.6344144645199722
7027,27.0,40.53853137003141,1.314711203651306,26.876625520438957,5.0,-0.34545596781170573,0.6733463933021308,1.6186516910951088,24.312042759426376,0.5430716329530143
7028,20.0,65.52056030204838,1.2393792484435926,45.3415075221776,-45.0,0.7380900604776142,1.0723215520107972,1.1792191733341033,26.922794424116574,0.7424841435056204
7029,33.0,49.0393124937584,1.305205085553934,42.082886550729256,-45.0,0.5651802054674722,0.8312651533021103,1.3954282459938216,27.724396047365552,0.7958794678383162
7030,29.0,44.86066806630646,1.2919286473911464,4.816650904762007,-34.0,10.440769339835658,1.0658569742731137,1.366184276279087,13.208596360832281,0.856321340848623
7031,31.0,80.5516381810588,1.2185726575763893,49.07506225457904,-27.0,-6.46122674705086,1.5907723203213147,1.440779812005574,18.43365002506187,0.8216056626442338
7032,21.0,67.1964772059453,1.2030974234473548,29.17791203715813,2.0,-4.110151639179666,1.0535448853005311,1.2170329994178526,27.947676571257414,0.79884587508376
7033,18.0,59.26934765953807,1.2492435445861418,76.67570234303044,-7.0,-0.9981668410439992,1.646966355596511,1.1798650046425145,21.833287929290183,0.6675446920158408
7034,31.0,44.44384468231795,1.2279934517585256,31.72286012126341,-8.0,-10.761149163017356,1.0184247597379168,1.463695808230469,27.154887202776425,0.8979017666168368
7035,27.0,48.36861496354707,1.186898914906394,2.3758125802628935,5.0,-11.357071060365396,1.3097755408757346,1.4426603528552198,23.92173829759065,0.954379099167652
7036,15.0,80.70192701333795,1.2225565628011263,84.98242607764378,-25.0,6.127551632629543,1.5130065234665757,1.1706514054152972,18.181991921069322,0.7814534622134863
7037,22.0,54.16079762762074,1.3073585813781086,61.09866016465345,-8.0,4.935849408610084,0.9995462231111081,1.420742818783156,17.24663908629723,0.8755611628506
