id,Delta,I_mult,R0,R_mult,delta_days_intro_VOC,delta_scaler2,ifr_mult,psi,scaler1,seasonality_min
9056,24.0,136.31058165366073,0.9109394494082886,42.45422361503765,-17.0,12.285652809691635,1.8238546957795538,1.0603072251614307,33.28019407640815,0.6164594134596358
9057,14.0,121.26116047036766,0.9013612727618737,27.28577446208484,7.0,-1.2844628155659703,1.7171317597096387,1.1944997479610808,36.90476578968507,0.6068317946723873
9058,23.0,127.53044493474225,0.947480108670725,54.50729185293533,18.0,3.289277573072793,1.2647016431300302,1.3503354224504034,29.85055853268966,0.605923183566333
9059,10.0,107.87099090646346,0.9824365294069322,93.04877059417083,44.0,1.8780402515994243,1.8395252998528504,1.1903491828913002,37.944747040297976,0.6247304986087666
9060,28.0,121.07096435756618,0.9308254701789166,70.68228357555029,-4.0,13.10448926660111,1.9071069899729398,1.1752199769547873,33.11309274226593,0.6004620748595166
9061,15.0,117.3441915964612,0.9622843349265527,67.51627470888215,4.0,6.841964467480842,1.5663006373225188,1.114529403725156,34.30989733354095,0.6432942511170154
9062,16.0,124.53925660370531,0.9340749740512712,39.690196824691704,42.0,6.6519500997068315,1.6104019830198768,1.207699149006936,28.63579199290536,0.6380516368709074
9063,25.0,134.3771656416837,0.949879056266251,43.84319638218324,18.0,4.539986404337199,1.4494001046229472,1.1556904699726902,31.24370831700592,0.6521664249761766
9064,24.0,126.72472434128463,0.9167448893525867,58.071714782191236,15.0,6.402340086730137,1.6770334855651308,1.2511643698352601,38.381912275718484,0.602881062244861
9065,16.0,120.23333110826758,0.9706256730697689,72.47648737328723,40.0,5.3145873000024055,1.9125619504989624,1.1350392023209122,29.178709492062364,0.6427689860812829
9066,20.0,81.28911658714993,0.9428250631640074,57.40304143744605,-24.0,0.2243532978767505,1.9758282368593372,1.0515996896712576,32.66368402564646,0.6046708683214966
9067,16.0,132.21951458057038,0.9683671954953592,65.33339811874416,4.0,8.4495300531109,1.4754022977890773,1.2109014031222853,30.276546248724593,0.6285364162758268
9068,22.0,109.93711630079652,0.9492063152398742,42.662252037805665,29.0,7.681253880996798,1.7045960479436453,1.2403728986174372,27.656615381059474,0.6454867221667722
9069,28.0,110.29504776712159,0.9718187519299439,75.02901052793447,26.0,3.6070531125450844,1.6767665338783762,1.2391011104579173,37.537575171102624,0.6466841433613416
